,2001-05-08 22:00:00+00:00,2002-04-16 21:00:00+00:00,2002-04-24 21:00:00+00:00,2003-04-15 21:00:00+00:00,2003-04-22 21:00:00+00:00,2003-04-23 21:00:00+00:00,2003-06-19 21:00:00+00:00,2004-03-25 22:00:00+00:00,2004-04-20 21:00:00+00:00,2004-04-22 21:00:00+00:00,2004-04-27 21:00:00+00:00,2005-04-14 21:00:00+00:00,2005-04-19 21:00:00+00:00,2005-04-20 21:00:00+00:00,2005-04-21 21:00:00+00:00,2005-04-25 21:00:00+00:00,2005-04-26 21:00:00+00:00,2005-05-03 21:00:00+00:00,2005-05-26 21:00:00+00:00,2006-04-12 21:00:00+00:00,2006-04-18 21:00:00+00:00,2006-04-19 21:00:00+00:00,2006-04-24 21:00:00+00:00,2006-04-25 21:00:00+00:00,2006-04-27 21:00:00+00:00,2006-05-01 21:00:00+00:00,2006-05-14 21:00:00+00:00,2006-06-07 21:00:00+00:00,2007-04-16 21:00:00+00:00,2007-04-17 21:00:00+00:00,2007-04-23 21:00:00+00:00,2007-04-24 21:00:00+00:00,2007-05-08 21:00:00+00:00,2007-05-23 21:00:00+00:00,2007-05-24 21:00:00+00:00,2007-05-29 21:00:00+00:00,2008-04-17 21:00:00+00:00,2008-04-21 21:00:00+00:00,2008-04-22 21:00:00+00:00,2008-04-24 21:00:00+00:00,2008-04-27 21:00:00+00:00,2008-05-06 21:00:00+00:00,2008-05-20 21:00:00+00:00,2008-05-22 21:00:00+00:00,2008-05-25 21:00:00+00:00,2009-05-05 21:00:00+00:00,2009-05-10 21:00:00+00:00,2009-05-25 21:00:00+00:00,2009-05-26 21:00:00+00:00,2009-05-31 21:00:00+00:00,2009-06-14 21:00:00+00:00,2010-04-29 21:00:00+00:00,2010-05-05 21:00:00+00:00,2010-05-06 21:00:00+00:00,2010-05-09 21:00:00+00:00,2010-05-10 21:00:00+00:00,2010-05-11 21:00:00+00:00,2010-05-16 21:00:00+00:00,2010-05-27 21:00:00+00:00,2010-06-14 21:00:00+00:00,2010-07-12 21:00:00+00:00,2011-05-04 21:00:00+00:00,2011-05-05 21:00:00+00:00,2011-05-09 21:00:00+00:00,2011-05-10 21:00:00+00:00,2011-07-07 21:00:00+00:00,2011-07-11 21:00:00+00:00,2012-04-23 21:00:00+00:00,2012-05-06 21:00:00+00:00,2012-05-07 21:00:00+00:00,2012-05-09 21:00:00+00:00,2012-05-14 21:00:00+00:00,2012-07-10 21:00:00+00:00,2013-04-09 21:00:00+00:00,2013-05-07 21:00:00+00:00,2013-05-09 21:00:00+00:00,2013-05-12 21:00:00+00:00,2013-05-20 21:00:00+00:00,2013-05-23 21:00:00+00:00,2013-06-04 21:00:00+00:00,2013-06-20 21:00:00+00:00,2013-07-09 21:00:00+00:00,2014-04-07 21:00:00+00:00,2014-05-06 21:00:00+00:00,2014-05-07 21:00:00+00:00,2014-05-11 21:00:00+00:00,2014-05-13 21:00:00+00:00,2014-05-19 21:00:00+00:00,2014-06-05 21:00:00+00:00,2014-06-19 21:00:00+00:00,2014-07-06 21:00:00+00:00,2014-07-09 21:00:00+00:00,2015-04-09 21:00:00+00:00,2015-05-07 21:00:00+00:00,2015-05-12 21:00:00+00:00,2015-05-14 21:00:00+00:00,2015-05-19 21:00:00+00:00,2015-05-20 21:00:00+00:00,2015-05-26 21:00:00+00:00,2015-05-31 21:00:00+00:00,2015-06-01 21:00:00+00:00,2015-06-07 21:00:00+00:00,2015-06-08 21:00:00+00:00,2015-06-24 21:00:00+00:00,2015-07-09 21:00:00+00:00,2016-04-11 21:00:00+00:00,2016-04-21 21:00:00+00:00,2016-05-05 21:00:00+00:00,2016-05-08 21:00:00+00:00,2016-05-09 21:00:00+00:00,2016-05-10 21:00:00+00:00,2016-05-11 21:00:00+00:00,2016-05-15 21:00:00+00:00,2016-05-16 21:00:00+00:00,2016-05-22 21:00:00+00:00,2016-05-23 21:00:00+00:00,2016-06-05 21:00:00+00:00,2016-06-06 21:00:00+00:00,2016-06-26 21:00:00+00:00,2016-06-27 21:00:00+00:00,2016-06-28 21:00:00+00:00,2016-07-10 21:00:00+00:00,2016-07-11 21:00:00+00:00,2016-12-26 22:00:00+00:00,2016-12-27 22:00:00+00:00,2017-01-04 22:00:00+00:00,2017-04-04 21:00:00+00:00,2017-04-09 21:00:00+00:00,2017-04-10 21:00:00+00:00,2017-04-11 21:00:00+00:00,2017-05-04 21:00:00+00:00,2017-05-07 21:00:00+00:00,2017-05-08 21:00:00+00:00,2017-05-09 21:00:00+00:00,2017-05-10 21:00:00+00:00,2017-05-11 21:00:00+00:00,2017-05-16 21:00:00+00:00,2017-05-21 21:00:00+00:00,2017-05-22 21:00:00+00:00,2017-05-23 21:00:00+00:00,2017-06-05 21:00:00+00:00,2017-06-12 21:00:00+00:00,2017-06-26 21:00:00+00:00,2017-06-27 21:00:00+00:00,2017-07-11 21:00:00+00:00,2017-10-12 21:00:00+00:00,2018-01-03 22:00:00+00:00,2018-01-04 22:00:00+00:00,2018-01-24 22:00:00+00:00,2018-04-05 21:00:00+00:00,2018-04-24 21:00:00+00:00,2018-05-08 21:00:00+00:00,2018-05-09 21:00:00+00:00,2018-05-10 21:00:00+00:00,2018-05-15 21:00:00+00:00,2018-05-22 21:00:00+00:00,2018-05-23 21:00:00+00:00,2018-06-04 21:00:00+00:00,2018-06-11 21:00:00+00:00,2018-06-18 21:00:00+00:00,2018-06-24 21:00:00+00:00,2018-07-15 21:00:00+00:00,2018-09-17 21:00:00+00:00,2018-10-10 21:00:00+00:00,2018-11-12 22:00:00+00:00,2019-03-25 22:00:00+00:00,2019-04-02 21:00:00+00:00,2019-05-09 21:00:00+00:00,2019-05-12 21:00:00+00:00,2019-05-13 21:00:00+00:00,2019-05-14 21:00:00+00:00,2019-05-15 21:00:00+00:00,2019-05-26 21:00:00+00:00,2019-05-28 21:00:00+00:00,2019-06-10 21:00:00+00:00,2019-06-18 21:00:00+00:00,2019-06-25 21:00:00+00:00,2019-07-02 21:00:00+00:00,2019-07-03 21:00:00+00:00,2020-03-25 22:00:00+00:00,2020-04-01 21:00:00+00:00,2020-05-11 21:00:00+00:00,2020-05-12 21:00:00+00:00,2020-05-13 21:00:00+00:00,2020-07-09 21:00:00+00:00,2020-07-12 21:00:00+00:00,2021-01-05 22:00:00+00:00,2021-03-31 21:00:00+00:00,2021-04-05 21:00:00+00:00,2021-04-07 21:00:00+00:00,2021-04-13 21:00:00+00:00,2021-05-09 21:00:00+00:00,2021-05-10 21:00:00+00:00,2021-05-11 21:00:00+00:00,2021-05-13 21:00:00+00:00,2021-05-16 21:00:00+00:00,2021-06-01 21:00:00+00:00,2021-06-03 21:00:00+00:00,2021-06-06 21:00:00+00:00,2021-06-08 21:00:00+00:00,2021-06-13 21:00:00+00:00,2021-09-06 21:00:00+00:00,2021-10-07 21:00:00+00:00,2021-11-17 22:00:00+00:00,2021-12-06 22:00:00+00:00
LHV1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149294,,,,,,,,,,,,,,,,,,,,,,0.159246,,,,,,,,,,,,,,,0.209011,,,,,,,,,,,,,,0.19,,,,,,,,,0.29,,,,,,,,,,,,,,,,
MRK1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,11.0,,,,,,1.56,,,,,,,,,,,,,,,0.3,,,,,,0.41,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
NCN1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,0.065,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,0.06,,,,,,,,,,,,,,0.06,,,,
NTU1L.VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKG1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTR1L.VS,,,,,,,,,,,,0.0344,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,0.23,,,,,,,,,,0.07,,,,,,,,,0.07,,,,0.07,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016023,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
PZV1L.VS,,,,,,,,,,0.1,,,,,,0.15,,,,,,,0.175,,,,,,,,,0.2,,,,,,0.225,,,,,,,,0.11,,,,,,0.23,,,,,,,,,,,,0.49,,,,,,,0.5,,,,,,0.55,,,,,,,,,0.24,,,,,,,,,0.075,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.07,,,,,,,,,,0.14,,,,,,,,,,,,
RSU1L.VS,,,,,,,,4.45,,,,,,,,,5.0,,,,,,,2.36,,,,,,,,2.36,,,,,,,0.24,,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.1,,,,,,0.1,,,,,0.1,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,
SAB1L.VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001158,,,,,,,,,,,,,,,,,,,,,,,,0.004167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0055,,,,,,,,,,,,,,
SFG1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,0.05,,,,,,0.25,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.15,0.15,0.1,0.1,,,,,,,,,,,,,,,,,,,,0.2,,0.3,,0.3,,,,,,,,,,,,,0.2,,,,,,,,,,0.2,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAL1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEL1L.VS,,,,,,0.06,,,0.06,,,,0.13,,,,,,,,,0.16,,,,,,,,,0.26,,,,,,,,,0.25,,,,,,,0.23,,,,,,0.21,,,,,,,,,,,0.18,,,,,0.2,,,,,,0.2,,,,,,,,,,,0.19,,,,,,,,,0.068,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,0.09,,,,,,,,,,0.1,,,,,,,,,,,,,
TKM1T.TL,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,0.4,,,,,,,,,0.65,,,,,0.28,,,,0.35,,,,,,0.35,,,,,,,,,0.15,,,,,,,,,,0.4,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,0.73,,,,,,,0.6,,,,,,,,,,,,,,,,,
TSM1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,0.115,,,,,,,,,,,,0.077,,,,,,,,
TVE1T.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
